epoch,train_loss,train_acc,val_loss,val_acc
1,0.684972,85.634,0.150557,96.86
2,0.11203,97.182,0.068719,98.14
3,0.07835,97.694,0.048051,98.5
4,0.062566,98.118,0.052685,98.39
5,0.056597,98.212,0.05914,98.06
6,0.048208,98.494,0.039849,98.79
7,0.043747,98.64,0.040276,98.68
8,0.042223,98.68,0.035177,98.97
9,0.039402,98.746,0.034398,98.9
10,0.035548,98.874,0.029396,98.99
11,0.03192,98.996,0.027165,99.18
12,0.031452,99.028,0.025718,99.12
13,0.02701,99.14,0.024911,99.22
14,0.02566,99.216,0.024788,99.19
15,0.021921,99.322,0.021018,99.29
16,0.02099,99.35,0.023723,99.26
17,0.018715,99.432,0.022264,99.32
18,0.017288,99.48,0.018341,99.41
19,0.016553,99.482,0.018655,99.44
20,0.015151,99.51,0.019339,99.4
