epoch,train_loss,train_acc,val_loss,val_acc
1,0.210251,93.616,0.10229,96.95
2,0.094709,97.078,0.085569,97.4
3,0.085687,97.324,0.045058,98.54
4,0.077368,97.632,0.058837,98.22
5,0.075114,97.732,0.080436,97.48
6,0.077494,97.614,0.059075,98.28
7,0.05011,98.418,0.051767,98.35
8,0.050841,98.37,0.030869,99.06
9,0.051809,98.388,0.05163,98.36
10,0.050932,98.39,0.036644,98.84
11,0.051443,98.406,0.030276,99.17
12,0.050621,98.434,0.035702,98.85
13,0.052192,98.44,0.047871,98.49
14,0.052625,98.39,0.029057,99.11
15,0.037646,98.78,0.030748,99.12
16,0.036549,98.832,0.02783,99.11
17,0.036567,98.858,0.025585,99.26
18,0.037304,98.892,0.022975,99.24
19,0.035453,98.836,0.028219,99.08
20,0.036651,98.842,0.028707,99.04
