epoch,train_loss,train_acc,val_loss,val_acc
1,1.026418,76.342,0.266906,95.79
2,0.141999,97.258,0.10498,97.16
3,0.080213,97.848,0.091125,97.3
4,0.061728,98.226,0.080263,97.42
5,0.051001,98.502,0.037834,98.82
6,0.044116,98.636,0.053774,98.36
7,0.040511,98.732,0.028763,99.16
8,0.03773,98.816,0.035256,98.98
9,0.035818,98.93,0.039929,98.77
10,0.032183,98.964,0.026796,99.13
11,0.030802,99.02,0.022847,99.26
12,0.025537,99.214,0.023793,99.24
13,0.025098,99.196,0.020394,99.36
14,0.022098,99.326,0.01997,99.32
15,0.020591,99.332,0.022053,99.33
16,0.01752,99.456,0.020264,99.32
17,0.01763,99.478,0.017438,99.49
18,0.014922,99.558,0.016951,99.47
19,0.014377,99.594,0.017032,99.47
20,0.014039,99.602,0.016493,99.48
