epoch,train_loss,train_acc,val_loss,val_acc
1,0.406611,90.25,0.156095,95.77
2,0.075683,97.882,0.118229,96.34
3,0.055547,98.38,0.039052,98.82
4,0.045581,98.574,0.063133,97.93
5,0.041554,98.722,0.055705,98.17
6,0.030727,99.054,0.028674,99.07
7,0.029228,99.116,0.027284,99.12
8,0.028359,99.128,0.025722,99.21
9,0.028807,99.12,0.026293,99.24
10,0.02639,99.192,0.025515,99.15
11,0.022107,99.346,0.021373,99.32
12,0.020643,99.348,0.025486,99.18
13,0.020316,99.352,0.023116,99.28
14,0.019508,99.398,0.020763,99.25
15,0.018413,99.428,0.022939,99.27
16,0.017417,99.474,0.020834,99.36
17,0.016238,99.496,0.020409,99.29
18,0.016917,99.476,0.019751,99.35
19,0.015935,99.516,0.019739,99.34
20,0.016798,99.506,0.0214,99.26
