epoch,train_loss,train_acc,val_loss,val_acc
1,0.639703,81.548,0.361,88.11
2,0.100642,97.102,0.058259,98.25
3,0.06508,98.012,0.066892,97.89
4,0.055071,98.31,0.039979,98.88
5,0.04491,98.584,0.036322,98.9
6,0.041312,98.712,0.042929,98.77
7,0.037167,98.86,0.039084,98.81
8,0.035525,98.874,0.031051,99.04
9,0.033868,98.934,0.026605,99.16
10,0.030736,99.04,0.028988,99.11
11,0.027915,99.158,0.031812,98.97
12,0.027262,99.174,0.023522,99.19
13,0.024941,99.198,0.026217,99.14
14,0.022332,99.322,0.020083,99.3
15,0.021276,99.322,0.020909,99.4
16,0.019802,99.37,0.021625,99.29
17,0.018375,99.444,0.020336,99.34
18,0.016987,99.458,0.018673,99.43
19,0.015971,99.494,0.019323,99.43
20,0.015566,99.5,0.018874,99.4
